AGE,GENDER,CIVIL STATUS,NO DEPENDANTS,MOP,PORTFOLIO AT RISK,CYCLES,CURT/PDNP,BRANCH,YEARS BUS,HOME,YEARS HOME,CF TO LOAN,COLL TO LOAN
44,MALE,SINGLE,2,PDC,0,7,CURT,Cavite,11.0,OWNED,17.0," 278,026.85 "," 500,000.00 "
27,MALE,MARRIED,3,PDC," 116,148.69 ",1,PDNP,Past Due August 2016 to present-Inactive AO,5.0,OWNED,3.0," 352,003.13 "," 120,000.00 "
44,FEMALE,SINGLE,0,PDC,0,4,CURT,Cavite,5.0,RENTED,5.0," 255,401.21 "," 63,000.00 "
57,FEMALE,MARRIED,2,WALK-IN," 21,504.20 ",2,PDNP,Cavite,16.0,OWNED,6.0," 84,925.97 "," 40,000.00 "
45,FEMALE,SINGLE,2,PDC,0,5,CURT,Cavite,7.0,OWNED,7.0," 320,119.00 "," 70,000.00 "
38,FEMALE,MARRIED,1,PDC,0,6,CURT,Cavite,8.0,OWNED,12.0," 386,759.50 "," 170,000.00 "
58,MALE,MARRIED,4,PDC,0,4,CURT,Cavite,6.0,OWNED,6.0," 91,870.00 "," 144,000.00 "
36,MALE,SINGLE,2,PDC,0,5,CURT,Cavite,5.0,OWNED,5.0," 211,352.00 "," 275,000.00 "
51,MALE,MARRIED,4,PDC," 82,014.56 ",2,PDNP,Cavite,2.0,OWNED,23.0," 465,409.00 "," 100,000.00 "
35,FEMALE,SINGLE,0,WALK-IN,0,6,CURT,Cavite,6.0,OWNED,8.0," 261,593.00 "," 250,000.00 "
37,FEMALE,MARRIED,2,WALK-IN," 107,930.55 ",6,PDNP,Cavite,19.0,BORROWED/SHARED,12.0," 290,090.00 "," 280,000.00 "
36,MALE,MARRIED,3,WALK-IN,0,4,CURT,Cavite,8.0,OWNED,8.0," 159,945.00 "," 34,500.00 "
40,FEMALE,MARRIED,5,PDC," 14,955.99 ",1,PDNP,Cavite,15.0,OWNED,21.0," 283,503.24 "," 120,000.00 "
33,FEMALE,MARRIED,3,PDC,0,4,CURT,Laguna,4.0,OWNED,4.0," 196,563.88 "," 21,666.67 "
30,FEMALE,MARRIED,1,PDC,0,1,CURT,Laguna,4.0,OWNED,3.0,                               -  ,                               -  
